NDVI,EVI,SAVI,NDWI,ELEV,SLOPE,ASPECT,B2,B3,B4,B8,NDVI_mean_3x3,NDVI_std_3x3,NIR_mean_3x3,NIR_std_3x3,Status,longitude,latitude
0.75692254,0.6093308057156074,0.522368347833447,-0.6550981,6,3.731722,90.0,0.0462,0.07705,0.052933335,0.3698,0.7440662,0.03430401296410818,0.35599723,0.026914413571722164,1,79.96690369821465,6.897130004177068
0.6912199,0.5051162194127661,0.437588517491352,-0.5944891,11,1.3162254,45.207954,0.0485,0.07765,0.05545,0.317,0.6902802,0.024382020646067686,0.3175889,0.009273520926397692,1,79.96600538293053,6.895153710552005
0.61277246,0.43050727996581306,0.3763538610922802,-0.55540395,8,4.1466756,206.73189,0.047975,0.07395,0.05935,0.29869998,0.61932415,0.02598166638753336,0.29007778,0.011360621934822637,1,79.96771218197036,6.8973994987623035
0.6927587,0.5078273558248294,0.4482980609047177,-0.60430276,6,1.3162328,225.20827,0.0449,0.0802,0.0578,0.31546667,0.6965311,0.035199312522330196,0.32559073,0.020209170658688113,1,79.96636470904419,6.900543602256723
0.66994685,0.4936068519953623,0.43513900603255395,-0.58295125,7,2.8005433,270.0,0.048275,0.07975,0.06035,0.3114,0.68638587,0.03058612373863507,0.3198111,0.018350986365888187,1,79.96654437210101,6.900543602256723
0.704826,0.49444010993972076,0.43932472772805625,-0.6115611,9,2.9496431,251.68965,0.04745,0.079375,0.0584,0.32775,0.69964087,0.011216691611282465,0.32613444,0.006056659131449836,1,79.96690369821465,6.900543602256723
0.73599005,0.567822620069535,0.49012566488563203,-0.62001854,14,7.2270694,319.98944,0.05285,0.08146667,0.055233333,0.3804,0.73195904,0.02932848429115213,0.3619778,0.03541866360280661,1,79.9695088125386,6.900184276143074
0.6544077,0.4355790871470238,0.3880937808841692,-0.55716354,18,6.724914,343.94424,0.0512,0.0778,0.058,0.285,0.65989006,0.03824806589538797,0.2832685,0.02257971225710704,1,79.96995797018066,6.900184276143074
0.7083965,0.48969184759455464,0.42052572726612564,-0.61480755,18,6.724914,343.94424,0.04645,0.06994,0.048433334,0.2903,0.6618438,0.08653314845265093,0.2865778,0.04402562166030834,1,79.97013763323748,6.900274107671486
0.6893606,0.47405626045756777,0.4284473934012829,-0.60471267,12,6.464861,-0.0,0.0446,0.07576667,0.0555,0.3116,0.68812484,0.018033214014942817,0.31766295,0.008561779493078127,1,79.96636470904419,6.8949740474951815
0.7264115,0.5806477312935571,0.4946007871943756,-0.63951457,12,0.93416095,270.0,0.044,0.074825,0.0532,0.362075,0.7316605,0.012922483619636287,0.3518639,0.012654475345917186,1,79.96816133961242,6.89308758539853
0.70168406,0.5072676347227678,0.44888868142109173,-0.6108357,14,3.357141,56.50147,0.048233334,0.0747,0.05365,0.3139,0.709699,0.010963385857592982,0.32167333,0.008023570315664075,1,79.96816133961242,6.892458764699646
0.62977344,0.44298639389507516,0.39599732899285867,-0.5754377,8,3.94315,225.20819,0.0486,0.0776,0.0662,0.3052,0.63613176,0.03278714980590341,0.30444443,0.009848650129692238,1,79.94597295209466,6.899196129330543
